INFO  - 2013-06-04 20:53:33.553; org.eclipse.jetty.server.Server; jetty-8.1.8.v20121106
INFO  - 2013-06-04 20:53:33.617; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/contexts at interval 0
INFO  - 2013-06-04 20:53:33.634; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/contexts/solr-jetty-context.xml
INFO  - 2013-06-04 20:53:33.984; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/webapps/solr.war!/ to /Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/solr-webapp/webapp
INFO  - 2013-06-04 20:53:36.736; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-06-04 20:53:36.799; org.eclipse.jetty.server.handler.ContextHandler; started o.e.j.w.WebAppContext{/solr,file:/Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/solr-webapp/webapp/},/Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/webapps/solr.war
INFO  - 2013-06-04 20:53:36.800; org.eclipse.jetty.server.handler.ContextHandler; started o.e.j.w.WebAppContext{/solr,file:/Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/solr-webapp/webapp/},/Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/webapps/solr.war
INFO  - 2013-06-04 20:53:36.831; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-06-04 20:53:36.868; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2013-06-04 20:53:36.869; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2013-06-04 20:53:36.890; org.apache.solr.core.CoreContainer$Initializer; looking for solr config file: /Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/solr/solr.xml
INFO  - 2013-06-04 20:53:36.895; org.apache.solr.core.CoreContainer; New CoreContainer 977706986
INFO  - 2013-06-04 20:53:36.896; org.apache.solr.core.CoreContainer; Loading CoreContainer using Solr Home: 'solr/'
